职位名称,公司名称,公司规模,行业,融资,技能要求,地区,薪资,工作经验,学历,福利
数据分析师,青木数字技术股份有限公司,500-2000人,电商,未融资,"['BI', '可视化', '数据分析', '数据库']",海珠区,7k-14k,不限,本科,晋升机会 导师带教 品牌机会 周末双休
PTBU-数据分析师,广州酷狗计算机科技有限公司,500-2000人,文娱丨内容,上市公司,['数据分析'],天河区,15k-25k,不限,本科,餐饮补贴 大平台 五险一金 年终奖
数据分析实习生,广州汇量信息科技有限公司,500-2000人,广告营销,上市公司,[],天河区,2k-3k,应届毕业生,不限,环境好大牛带包四餐弹性工作
高级数据分析师,广州富米科技有限公司,500-2000人,"移动互联网,电商",B轮,"['市场', '行业分析', '数据分析', '消费者分析']",荔湾区,18k-25k,3-5年,本科,1000+规模 发展空间大 月流水过亿
资深数据分析师（增长方向）,上海触乐信息科技有限公司,500-2000人,"移动互联网,数据服务",上市公司,"['Hive', 'SQLServer', '数据分析']",海珠区,20k-35k,3-5年,本科,美股上市公司，团队牛人多
数据分析师（运营方向）,广州银行股份有限公司信用卡中心,2000人以上,金融,不需要融资,['数据分析'],天河区,15k-25k,不限,本科,学习机会，福利待遇好
数据分析师,乐麦信息技术（杭州）有限公司,500-2000人,电商,不需要融资,"['商业', 'BI', '数据分析']",天河区,13k-25k,1-3年,本科,"五险一金,周末双休,带薪年假,内部培养"
数据分析（实习）,广东赢商网数据服务股份有限公司,150-500人,"移动互联网,企业服务",上市公司,"['数据分析', 'SPSS']",天河区,3k-4k,不限,本科,周末双休
数据分析师,暨南大学经济与社会研究院,50-150人,"教育,数据服务",不需要融资,['数据分析'],天河区,8k-12k,不限,硕士,超长带薪年假 工作环境单纯
数据分析师,广州大麦信息科技有限公司,150-500人,"电商,企业服务",天使轮,"['商业', '数据分析', '数据运营']",越秀区,7k-10k,1年以下,本科,五险一金 双休 节日福利
数据分析,网易（杭州）网络有限公司,2000人以上,电商,上市公司,"['SQL', '数据分析', '数据运营', 'BI']",天河区,12k-24k,3-5年,本科,6险1金 16薪 免费食堂 健身房
数据分析师,广州市巴图鲁信息科技有限公司,500-2000人,汽车丨出行,C轮,"['BI', 'SQL', '数据分析']",海珠区,8k-12k,1-3年,本科,五险一金；带薪假期；绩效奖金；双休
数据分析师,网易（杭州）网络有限公司,2000人以上,电商,上市公司,"['Hadoop', '数据处理', '数据分析', 'MySQL']",天河区,12k-24k,3-5年,本科,6险1金 16薪 免费食堂 健身房
数据分析岗（业务方向）,广发银行股份有限公司信用卡中心,2000人以上,金融,不需要融资,"['商业', '可视化', 'SQL', '数据分析']",天河区,15k-25k,3-5年,本科,"周末双休,带薪年假,五险一金,提供食堂"
数据分析（实习生）,浙江金科文化产业股份有限公司,150-500人,移动互联网,上市公司,['数据分析'],天河区,2k-3k,1年以下,本科,"薪资丰厚,发展空间大,环境优越"
数据分析专员,三七互娱（上海）科技有限公司,2000人以上,游戏,上市公司,['数据分析'],天河区,8k-16k,应届毕业生,本科,一对一导师、五险一金、餐费补贴、交通便利
数据分析师,广州富米科技有限公司,500-2000人,"移动互联网,电商",B轮,"['商业', 'BI', 'SQL', '数据分析']",荔湾区,13k-18k,3-5年,本科,1000+规模 发展空间大 月流水过亿
数据分析师,海南高灯科技有限公司,500-2000人,"移动互联网,电商",B轮,"['SQL', '数据分析', '数据运营']",海珠区,8k-12k,1-3年,本科,"优质项目,腾讯大咖,自动化测试,氛围融洽"
高级数据分析,广州致景信息科技有限公司,150-500人,移动互联网,C轮,"['数据分析', '数据处理']",海珠区,15k-25k,5-10年,本科,"不打卡,五险一金,扁平化管理,氛围轻松"
数据分析师,广州合摩计算机科技有限公司,150-500人,移动互联网,B轮,"['商业', '数据分析', '数据运营', 'BI']",天河区,18k-30k,3-5年,本科,"牛人多,架构扁平,上升空间大"
高级数据分析师,广州力挚网络科技有限公司,500-2000人,"旅游,消费生活",C轮,['Hadoop'],天河区,13k-20k,3-5年,本科,"海外旅游,免费租车,甲级写字楼,年终奖金"
中级数据分析师,广州市巴图鲁信息科技有限公司,500-2000人,汽车丨出行,C轮,"['数据分析', 'SQL', '数据库']",海珠区,9k-13k,3-5年,本科,五险一金；带薪假期；绩效奖金；双休
BI数据分析师,广州致景信息科技有限公司,150-500人,移动互联网,C轮,"['数据分析', '数据挖掘', '算法']",海珠区,15k-28k,5-10年,本科,"不打卡,五险一金,扁平化管理,氛围轻松"
数据分析师,深圳市对庄科技有限公司,150-500人,移动互联网,A轮,"['MySQL', '数据分析', '数据挖掘', 'DBA']",荔湾区,10k-15k,3-5年,本科,行业TOP1+免费购书+丰盛午餐
数据分析师,广州嘉荣互联网科技有限公司,15-50人,"软件开发,区块链",未融资,"['数据库', '数据分析', '数据运营']",天河区,11k-17k,3-5年,大专,弹性工作&nbsp
数据分析师工程师,广州力挚网络科技有限公司,500-2000人,"旅游,消费生活",C轮,['SQLServer'],天河区,8k-14k,3-5年,本科,"五险一金,年度旅游,交通补贴,健身房"
运营数据分析主管,广州小鹏汽车科技有限公司,2000人以上,汽车丨出行,B轮,['社区运营'],天河区,8k-14k,1-3年,大专,社区运营 社区档案管理
数据分析师,广州阿凡提电子科技有限公司,15-50人,"移动互联网,电商",天使轮,[],海珠区,5k-8k,3-5年,大专,"创业公司,机会多,同事好"
数据分析员,广州大麦信息科技有限公司,150-500人,"电商,企业服务",天使轮,[],越秀区,7k-10k,1年以下,本科,五险一金、双休
数据分析工程师,广州海汇铭康信息技术有限公司,50-150人,"移动互联网,医疗丨健康",A轮,"['BI', 'SQL', '数据分析']",天河区,8k-15k,不限,本科,弹性工作，优雅办公室，具备高成长性职位
数据分析师（用户方向）,广州富米科技有限公司,500-2000人,"移动互联网,电商",B轮,"['BI', '数据分析', 'SQL', '商业']",荔湾区,12k-18k,3-5年,本科,1000+规模 发展空间大 月流水过亿
数据分析师,海南高灯科技有限公司,500-2000人,"移动互联网,电商",B轮,"['SQL', '数据分析', '数据运营']",海珠区,8k-12k,1-3年,本科,"优质项目,腾讯大咖,自动化测试,氛围融洽"
数据分析师,广东映客互娱网络信息有限公司,150-500人,"移动互联网,文娱丨内容",上市公司,"['数据分析', '数据运营', '数据库']",海珠区,15k-25k,1-3年,本科,氛围好 五险一金 下午茶 双休
数据分析师,广州趣丸网络科技有限公司,500-2000人,游戏,不需要融资,"['SQL', 'SPSS', '数据运营']",天河区,12k-20k,1-3年,本科,"五险一金,包三餐,大牛多,空间大"
数据分析师,广州华资软件技术有限公司,500-2000人,"移动互联网,数据服务",上市公司,"['数据分析', '数据库']",天河区,10k-18k,3-5年,本科,BI、人工智能、大数据、物联网的应用
数据分析师,蓝月亮（中国）有限公司,2000人以上,消费生活,不需要融资,['数据分析'],黄埔区,10k-15k,不限,本科,双休 大平台
数据分析师,广东智源信息技术有限公司,50-150人,"移动互联网,企业服务",不需要融资,"['SQL', '数据分析']",越秀区,7k-12k,1-3年,本科,"年度旅游,月度活动,五险一金,绩效奖金"
数据分析师（初级）,广东智源信息技术有限公司,50-150人,"移动互联网,企业服务",不需要融资,"['数据分析', 'SQL']",越秀区,5k-8k,不限,本科,"年度旅游,月度活动,五险一金,绩效奖金"
数据分析员,易联支付有限公司广州分公司,50-150人,"移动互联网,金融",不需要融资,['数据分析'],天河区,7k-9k,1-3年,大专,氛围融洽 技术更新快 薪酬福利好
数据分析员,广州大麦信息科技有限公司,150-500人,"电商,企业服务",天使轮,[],越秀区,7k-10k,1年以下,本科,五险一金、双休
数据分析师,广州合摩计算机科技有限公司,150-500人,移动互联网,B轮,"['商业', '数据分析', '数据运营', 'BI']",天河区,18k-30k,3-5年,本科,"牛人多,架构扁平,上升空间大"
数据分析师,广州嘉荣互联网科技有限公司,15-50人,"软件开发,区块链",未融资,"['数据库', '数据分析', '数据运营']",天河区,11k-17k,3-5年,大专,弹性工作&nbsp
数据分析师,广州启合科技有限公司,50-150人,"移动互联网,教育",A轮,"['增长黑客', '数据分析', 'SQL', '可视化']",海珠区,15k-25k,5-10年,本科,顶级风投、爆发式增长、周末双休、六险一金
数据分析师,美的集团电子商务有限公司,2000人以上,电商,上市公司,"['商业', '数据分析', 'SPSS', 'BI']",番禺区,10k-20k,3-5年,本科,不打卡 团队年轻 领导nice
数据分析师(商业方向，初级）,深圳市一面网络技术有限公司,50-150人,"移动互联网,数据服务",A轮,[],天河区,8k-15k,不限,本科,大数据人工智能；面朝全球前10食品公司
数据分析师（NLP方向）,广州威尔森信息科技有限公司,150-500人,企业服务,未融资,['NLP'],天河区,8k-12k,1-3年,本科,六险一金
数据分析师,深圳合众财富金融投资管理有限公司广州分公司,150-500人,"金融,移动互联网",不需要融资,"['数据分析', 'SQL']",天河区,10k-15k,1-3年,本科,行业大牛 晋升空间广
HR-数据分析,广州市百果园网络科技有限公司,2000人以上,"移动互联网,社交",上市公司,"['HR', '人力资源', '人事']",番禺区,15k-30k,3-5年,本科,福利好 发展空间大
数据分析工程师,广州海汇铭康信息技术有限公司,50-150人,"移动互联网,医疗丨健康",A轮,"['BI', 'SQL', '数据分析']",天河区,8k-15k,不限,本科,弹性工作，优雅办公室，具备高成长性职位
数据分析师,网易（杭州）网络有限公司,2000人以上,电商,上市公司,"['SQL', '数据分析']",天河区,10k-16k,3-5年,本科,发展空间大
数据分析师,广州逸仙电子商务有限公司,500-2000人,电商,B轮,"['数据分析', '数据库']",海珠区,8k-12k,1-3年,大专,"大小周,绩效奖金,年底双薪,员工旅游"
数据分析,广州宇泰行数据科技有限公司,15-50人,数据服务,未融资,"['商业', '数据分析', 'BI']",天河区,10k-19k,3-5年,不限,职位发展空间大
数据分析师,广州数说故事信息科技有限公司,150-500人,数据服务,B轮,"['可视化', '数据分析', 'SPSS']",天河区,8k-15k,1-3年,本科,"高速发展,领导好,氛围好,业务导向"
数据分析工程师,广州哆啦科技有限公司,2000人以上,"电商,移动互联网",C轮,['数据分析'],海珠区,15k-30k,3-5年,本科,期权激励 绩效奖金 扁平管理 五险一金
数据分析师,平潭中烁网络科技有限公司,150-500人,游戏,不需要融资,"['数据分析', '数据库', '数据运营']",海珠区,15k-25k,3-5年,本科,定期体检 年终奖 带薪年假 员工旅游
数据分析师（数据产品经理） (MJ002239),广州华多网络科技有限公司,2000人以上,文娱丨内容,上市公司,['数据分析'],番禺区,12k-24k,1-3年,不限,公司大，平台广，福利多，设施配备全
数据分析工程师,上海翡翠东方网络信息技术有限公司,15-50人,文娱丨内容,不需要融资,"['运维', '数据分析']",天河区,18k-30k,3-5年,本科,数据分析
数据分析师（社会化媒体）,精硕科技（北京）股份有限公司,2000人以上,数据服务,不需要融资,"['数字营销', '市场分析', '数据分析', '营销策略']",海珠区,6k-8k,1年以下,本科,"六险一金,带薪年假,餐补,年终奖金"
推广与数据分析,青木数字技术股份有限公司,500-2000人,电商,未融资,"['电商运营', '数据分析', '运营']",海珠区,5k-8k,1-3年,本科,五险一金 周末双休 氛围好
